hex_id,hex_code
8849821ad5fffff,HEX-00733
8849821ad7fffff,HEX-00734
8849821ad9fffff,HEX-00735
8849821adbfffff,HEX-00736
8849821addfffff,HEX-00737
8849821ae1fffff,HEX-00738
8849821ae3fffff,HEX-00739
8849821ae5fffff,HEX-00740
8849821ae7fffff,HEX-00741
8849821ae9fffff,HEX-00742
8849821aebfffff,HEX-00743
8849821aedfffff,HEX-00744
8849821b01fffff,HEX-00745
8849821b03fffff,HEX-00746
8849821b05fffff,HEX-00747
8849821b07fffff,HEX-00748
8849821b09fffff,HEX-00749
8849821b0bfffff,HEX-00750
8849821b0dfffff,HEX-00751
8849821b11fffff,HEX-00752
8849821b13fffff,HEX-00753
8849821b15fffff,HEX-00754
8849821b17fffff,HEX-00755
8849821b19fffff,HEX-00756
8849821b1bfffff,HEX-00757
8849821b1dfffff,HEX-00758
8849821b21fffff,HEX-00759
8849821b23fffff,HEX-00760
8849821b25fffff,HEX-00761
8849821b27fffff,HEX-00762
8849821b29fffff,HEX-00763
8849821b2bfffff,HEX-00764
8849821b2dfffff,HEX-00765
8849821b31fffff,HEX-00766
8849821b33fffff,HEX-00767
8849821b35fffff,HEX-00768
8849821b37fffff,HEX-00769
8849821b39fffff,HEX-00770
8849821b3bfffff,HEX-00771
8849821b3dfffff,HEX-00772
8849821b41fffff,HEX-00773
8849821b43fffff,HEX-00774
8849821b45fffff,HEX-00775
8849821b47fffff,HEX-00776
8849821b49fffff,HEX-00777
8849821b4bfffff,HEX-00778
8849821b4dfffff,HEX-00779
8849821b51fffff,HEX-00780
8849821b53fffff,HEX-00781
8849821b55fffff,HEX-00782
8849821b57fffff,HEX-00783
8849821b59fffff,HEX-00784
8849821b5bfffff,HEX-00785
8849821b5dfffff,HEX-00786
8849821b61fffff,HEX-00787
8849821b63fffff,HEX-00788
8849821b65fffff,HEX-00789
8849821b67fffff,HEX-00790
8849821b69fffff,HEX-00791
8849821b6bfffff,HEX-00792
8849821b6dfffff,HEX-00793
8849825641fffff,HEX-00794
8849825649fffff,HEX-00795
884982564bfffff,HEX-00796
884982564dfffff,HEX-00797
8849825659fffff,HEX-00798
884982565dfffff,HEX-00799
8849828001fffff,HEX-00800
8849828003fffff,HEX-00801
8849828005fffff,HEX-00802
8849828007fffff,HEX-00803
8849828009fffff,HEX-00804
884982800bfffff,HEX-00805
884982800dfffff,HEX-00806
8849828011fffff,HEX-00807
8849828013fffff,HEX-00808
8849828015fffff,HEX-00809
8849828017fffff,HEX-00810
8849828019fffff,HEX-00811
884982801bfffff,HEX-00812
884982801dfffff,HEX-00813
8849828021fffff,HEX-00814
8849828023fffff,HEX-00815
8849828025fffff,HEX-00816
8849828027fffff,HEX-00817
8849828029fffff,HEX-00818
884982802bfffff,HEX-00819
884982802dfffff,HEX-00820
8849828031fffff,HEX-00821
8849828033fffff,HEX-00822
8849828035fffff,HEX-00823
8849828037fffff,HEX-00824
8849828039fffff,HEX-00825
884982803bfffff,HEX-00826
884982803dfffff,HEX-00827
8849828041fffff,HEX-00828
8849828043fffff,HEX-00829
